ID,Date,Country,Disease,Update,Month,Year,Cases,Deaths
148,19/10/2000,Saudi Arabia,Rift Valley fever,Yes,10,2000,405,76
156,09/10/2000,Yemen,Rift Valley fever,Yes,10,2000,321,0
114,20/11/2000,South Africa,Cholera,Yes,11,2000,285,2
140,25/10/2000,Uganda,Ebola,Yes,10,2000,176,64
211,28/01/2000,Madagascar,Cholera,No,1,2000,983,0
109,05/12/2000,Uganda,Ebola,Yes,12,2000,370,0
113,22/11/2000,Somalia,Cholera,No,11,2000,272,14
116,15/11/2000,Uganda,Ebola,Yes,11,2000,321,104
180,19/06/2000,Afghanistan,Acute haemorrhagic fever syndrome,No,6,2000,20,15
122,09/11/2000,Uganda,Ebola,Yes,11,2000,295,96
194,07/04/2000,Sudan,Meningococcal disease,No,4,2000,549,197
188,27/04/2000,Netherlands,Meningococcal disease,Yes,4,2000,225,57
138,26/10/2000,Uganda,Ebola,Yes,10,2000,182,0
128,03/11/2000,Uganda,Ebola,Yes,11,2000,0,0
176,10/07/2000,Japan,Staphylococcal food intoxication,No,7,2000,809,0
169,24/08/2000,Rwanda,Meningococcal disease,No,8,2000,164,0
191,21/04/2000,France,Meningococcal disease,Yes,4,2000,199,4
1792,21/11/2014,Saudi Arabia,MERS-CoV,No,11,2014,909,331
1810,17/09/2014,United States,Enterovirus,No,9,2014,12,0
1795,13/11/2014,Uganda,,No,11,2014,197,0
1864,30/05/2014,Sudan,Cholera,No,5,2014,586,22
1805,10/10/2014,Uganda,,No,10,2014,20,0
1804,16/10/2014,Saudi Arabia,MERS-CoV,No,10,2014,317,11
1811,10/09/2014,Congo,Ebola,No,9,2014,62,35
1784,30/12/2014,China,Avian,No,12,2014,0,0
1836,14/07/2014,United Arab Emirates,MERS-CoV,Yes,7,2014,288,0
1922,30/03/2014,Guinea,Ebola,Yes,3,2014,112,70
1924,27/03/2014,Guinea,Ebola,Yes,3,2014,103,66
1930,25/03/2014,Guinea,Ebola,Yes,3,2014,60,0
1809,01/10/2014,United States,Ebola,No,10,2014,0,0
1789,15/12/2014,Brazil,West Nile,No,12,2014,0,0
1815,30/08/2014,Senegal,Ebola,Yes,8,2014,0,0
1800,31/10/2014,Qatar,MERS-CoV,No,10,2014,885,319
1802,24/10/2014,Turkey,MERS-CoV,No,10,2014,883,319
1797,07/11/2014,Saudi Arabia,MERS-CoV,No,11,2014,909,331
1921,30/03/2014,Liberia,Ebola,No,3,2014,2,2
1807,02/10/2014,Austria,MERS-CoV,No,10,2014,301,0
1793,18/11/2014,China,Avian,No,11,2014,3,1
1932,23/03/2014,Guinea,Ebola,No,3,2014,59,0
1785,28/12/2014,China,Avian,No,12,2014,1,0
1817,27/08/2014,Congo,Ebola,No,8,2014,80,13
1832,17/07/2014,Guinea,Polio,Yes,7,2014,0,0
1783,30/12/2014,United Kingdom,Ebola,No,12,2014,0,0
1928,26/03/2014,Guinea,Ebola,Yes,3,2014,62,0
1794,14/11/2014,Madagascar,Polio,No,11,2014,90,0
1791,21/11/2014,Madagascar,Plague,No,11,2014,119,40
1799,31/10/2014,Mali,Ebola,No,10,2014,0,0
1788,17/12/2014,Saudi Arabia,MERS-CoV,No,12,2014,938,343
1803,23/10/2014,France,Chikungunya,No,10,2014,4,0
1893,24/04/2014,Congo,Yellow fever,No,4,2014,116,6
1790,02/12/2014,Saudi Arabia,MERS-CoV,No,12,2014,927,338
1812,06/09/2014,Cameroon,Polio,Yes,9,2014,0,0
1940,17/03/2014,Cameroon,Polio,Yes,3,2014,7,0
1786,26/12/2014,Saudi Arabia,MERS-CoV,No,12,2014,941,347
1787,24/12/2014,China,Avian,No,12,2014,11,5
1806,09/10/2014,Spain,Ebola,No,10,2014,24,0
1801,29/10/2014,China,Avian,No,10,2014,2,1
1798,03/11/2014,Saudi Arabia,MERS-CoV,No,11,2014,897,325
1796,13/11/2014,Portugal,,No,11,2014,302,5
1898,17/04/2014,Cameroon,Polio,Yes,4,2014,4,0
1850,23/06/2014,Brazil,Polio,No,6,2014,0,0
1808,02/10/2014,Saudi Arabia,MERS-CoV,No,10,2014,301,4
1931,24/03/2014,Guinea,Ebola,Yes,3,2014,86,0
714,15/04/1998,Malaysia,Dengue,No,4,1998,19544,50
677,16/10/1998,Somalia,Cholera,No,10,1998,0,0
733,16/01/1998,Kenya,Rift Valley fever,Yes,1,1998,13,0
669,06/11/1998,Uganda,Plague,No,11,1998,340,27
672,26/10/1998,Iraq,Cholera,No,10,1998,1,0
728,03/02/1998,Congo,Cholera,No,2,1998,445,0
725,13/02/1998,Cambodia,Dengue,No,2,1998,227,3
708,19/05/1998,Congo,Cholera,No,5,1998,9605,0
681,23/09/1998,Sierra Leone,Cholera,No,9,1998,1770,0
716,07/04/1998,Zimbabwe,Cholera,No,4,1998,5385,70
668,10/11/1998,Mauritania,Rift Valley fever,No,11,1998,400,6
711,08/05/1998,Congo,Crimean-Congo haemorrhagic fever,No,5,1998,4,4
697,11/08/1998,Russian Federation,Anthrax,No,8,1998,15,0
701,15/07/1998,Cambodia,Cholera,No,7,1998,3085,0
674,22/10/1998,Brazil,Yellow fever,Yes,10,1998,35,0
715,07/04/1998,Uganda,Cholera,No,4,1998,16982,0
712,29/04/1998,Cameroon,,No,4,1998,237,0
745,06/01/1998,Congo,Cholera,No,1,1998,800,0
675,22/10/1998,Sudan,,No,10,1998,0,100
659,04/12/1998,Mozambique,,No,12,1998,600,100
723,20/02/1998,Mozambique,Cholera,Yes,2,1998,1657,0
663,25/11/1998,Sri Lanka,Cholera,No,11,1998,431,36
709,19/05/1998,Rwanda,Cholera,No,5,1998,0,0
710,08/05/1998,Afghanistan,Crimean-Congo haemorrhagic fever,No,5,1998,19,0
722,20/02/1998,Comoros,Cholera,Yes,2,1998,282,0
747,05/01/1998,Hong Kong,Influenza,No,1,1998,16,4
698,06/08/1998,Angola,Meningitis,No,8,1998,574,69
727,10/02/1998,Congo,Cholera,No,2,1998,485,0
704,17/06/1998,China,Enterovirus,Yes,6,1998,71,0
721,25/02/1998,Peru,Cholera,No,2,1998,863,0
741,09/01/1998,Hong Kong,Influenza,Yes,1,1998,1,0
690,24/08/1998,Angola,Meningitis,Yes,8,1998,1113,0
685,11/09/1998,Armenia,Cholera,No,9,1998,25,0
699,03/08/1998,Liberia,Cholera,No,8,1998,560,0
686,09/09/1998,Comoros,Cholera,Yes,9,1998,3199,0
678,15/10/1998,Cameroon,Cholera,No,10,1998,1106,0
662,25/11/1998,Brazil,Cholera,No,11,1998,376,0
720,10/03/1998,Comoros,Cholera,No,3,1998,193,0
746,06/01/1998,Kenya,Rift Valley fever,No,1,1998,0,300
658,18/12/1998,Somalia,Cholera,No,12,1998,14,0
696,13/08/1998,France,Legionellosis,No,8,1998,19,3
687,02/09/1998,Afghanistan,Cholera,Yes,9,1998,1400,86
731,20/01/1998,Hong Kong,Influenza,Yes,1,1998,18,0
689,26/08/1998,Brazil,Yellow fever,No,8,1998,33,0
684,21/09/1998,Kyrgyzstan,Typhoid fever,No,9,1998,46,0
740,09/01/1998,Saudi Arabia,,No,1,1998,0,0
657,22/12/1998,Congo,Meningitis,No,12,1998,203,0
706,28/05/1998,Tanzania,Malaria,No,5,1998,20000,0
671,04/11/1998,Venezuela,Yellow fever,No,11,1998,29,0
