Country,Disease,Year,cfr,Cases,Death
UK,COVID-19,2020,5.224712146,8077,422
US,COVID-19,2020,0.8177251659999999,25681,210
Uganda,Ebola,2000,11.0,426,165
Uganda,Ebola,2001,11.0,1500,0
Uganda,Ebola,2007,17.20430108,93,16
Uganda,Ebola,2012,39.53488372,43,17
Uganda,Marburg haemorrhagic fever,2012,50.0,18,9
Uganda,Meningococcal disease,2006,7.364341085,258,19
Uganda,Plague,1998,0.079411765,340,27
Uganda,Yellow fever,2016,23.33333333,30,7
Ukraine,COVID-19,2020,3.092783505,97,3
United Arab Emirates,COVID-19,2020,0.806451613,248,2
United Arab Emirates,MERS-CoV,2015,36.74513818,1350,480
United Arab Emirates,MERS-CoV,2016,35.96813725,1762,629
United Arab Emirates,MERS-CoV,2018,35.65926597,2207,787
United Arab Emirates,MERS-CoV,2019,34.453441299999994,2470,851
United Arab Emirates,MERS-CoV,2020,34.39744613,2506,862
United States,Anthrax,2001,21.73913043,23,5
United States,Elizabethkingia,2016,0.31578947399999996,57,18
United States,Encephalitis,1999,6.25,80,5
United States,Hantavirus pulmonary syndrome,2012,25.0,8,2
United States,West Nile,2002,21.91069574,963,211
Venezuela,Yellow fever,2004,50.0,2,1
Viet Nam,Avian,2004,71.11111111,45,32
Viet Nam,Avian,2005,71.11111111,69,46
Viet Nam,Avian,2007,80.0,101,47
Viet Nam,Avian,2008,49.05660377,106,52
Viet Nam,Avian,2009,50.89285714,112,57
Viet Nam,Avian,2010,50.42735043,119,59
Viet Nam,Avian,2012,49.59349593,123,61
Viet Nam,SARS,2003,7.936507937000001,63,5
Yemen,Acute haemorrhagic fever syndrome,2000,2.353982301,113,266
Yemen,Diphtheria,2017,0.07486631,187,14
Yemen,Rift Valley fever,2000,12.25114855,653,80
Zambia,Cholera,1999,0.522193211,766,4
Zambia,Plague,1997,9.737827715,267,26
Zambia,Plague,2001,2.52293578,436,11
Zimbabwe,COVID-19,2020,33.33333333,3,1
Zimbabwe,Cholera,1998,1.299907149,5385,70
Zimbabwe,Cholera,2008,5.728950447000001,26497,1518
Zimbabwe,Cholera,2009,65.09433962,79613,3731
Zimbabwe,Cholera,2018,0.585823081,8535,50
